storeId,storeName,regionGroup,city,district,address,phone,hours,officialStoreUrl,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,allSourceSystems,gmbSystems,manualReviewReason
chage-001,內湖康寧店,北部,台北市,,台北市康寧路一段82號,02-27916985,10:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1023,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats,LINE; Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-002,北投尊賢店,北部,台北市,北投區,北投區尊賢街209號,02-88663133,10:00~21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2404,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-003,南港玉成店,北部,台北市,南港區,台北市南港區南港路三段25號,02-26559332 ​,11:00~19:00(週一~ 日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8756,confirmed,confirmed,True,True,QuickClick; Uber Eats,Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-004,台北長安店,北部,台北市,大同區,台北市大同區長安西路129號,02-25582729 ​,10:30~20:30(週一~ 日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=394,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats; foodpanda,LINE; Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-005,文山木新店,北部,台北市,文山區,台北市文山區木新路二段262號,02-29390610,10:00~20:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3359,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-006,七堵百福店,北部,基隆市,七堵區,基隆市七堵區百三街32號,02-24516011,10:00~21:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2961,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-007,基隆孝三店,北部,基隆市,仁愛區,基隆市仁愛區孝三路96號1樓,02-24284241｜0976660946,11:00~20:00(週一~日) 一月份每週四休,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2307,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-008,冬山南興店,北部,宜蘭縣,冬山鄉,269 宜蘭縣冬山鄉冬山路一段986巷12號,03-9591513,10:00-20:00,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8939,confirmed,no_gmb_order_button,False,False,,,"Named GMB profile was verified after rejecting address-only or embedded Maps leads, but no blue Google Order entry was visible during the re-check."
chage-009,羅東中華店,北部,宜蘭縣,羅東鎮,265宜蘭縣羅東鎮中華路116號,03-9558867,10:00-20:00(週一~三、週五~日) 9:00~20:00(週四),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3444,confirmed,confirmed,True,True,QuickClick; Uber Eats,Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-010,羅東民權店,北部,宜蘭縣,羅東鎮,宜蘭縣羅東鎮民權路21號,03-9566979,09:30~20:00（週一~四）09:00~21:30（週五~日）,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=94,confirmed,confirmed,True,True,LINE; QuickClick; foodpanda,LINE; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-011,中和福美店,北部,新北市,中和區,新北市中和區福美路310號,02-22429658,10:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1554,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats; foodpanda,LINE; Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-012,新莊八德店,北部,新北市,新莊區,新北市新莊區八德街150號,02-22029177,每週一店休 10:00 ~ 21:00 (週 二 ~ 五 ) 11:00 ~ 21:00 (週 六 ~ 日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1702,confirmed,confirmed,True,True,LINE; QuickClick; foodpanda,LINE; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-013,板橋大仁店,北部,新北市,板橋區,新北市板橋區大仁街25號,02-89682883,10:00 ~ 22:00 (週 一 ~ 日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1750,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats,LINE; Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-014,板橋莒光店,北部,新北市,板橋區,新北市板橋區莒光路196巷1號,02-22550667,10:00 ~ 22:00 (週 一 ~ 日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8716,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-015,林口中山店,北部,新北市,林口區,新北市林口區中山路518號,02-26026725,10:00-21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3133,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-016,林口竹林店,北部,新北市,林口區,新北市林口區竹林路1-10號,02-26026966,10:00-20:00,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=8926,confirmed,confirmed,True,True,Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-017,永和竹林店,北部,新北市,永和區,新北市永和區竹林路41號,02-89254038,10:00 ~ 22:00 (週 一 ~ 日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2606,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-018,汐止新昌店,北部,新北市,汐止區,新北市汐止區新昌路78號,02-86918198,11:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1650,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-019,汐止福德店,北部,新北市,汐止區,新北市汐止區福德一路165號,02-26933758,週日~週四:10:30-21:00 週五~週六:10:30-21:30,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=726,confirmed,confirmed,True,True,QuickClick; Uber Eats,Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-020,鶯歌建國店,北部,新北市,鶯歌區,新北市鶯歌區建國路233號,02-26799388,10:00~21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=144,confirmed,confirmed,True,True,LINE; QuickClick; foodpanda,LINE; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-021,新竹巨城店,北部,新竹市,,新竹市民權路146號,03-5337695,10:00~21:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=138,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-022,新豐中興店,北部,新竹縣,新豐鄉,新竹縣新豐鄉中興路191號,03-5575800,10:30~20:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2973,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-023,湖口中正店,北部,新竹縣,湖口鄉,新竹縣湖口鄉中正路一段61號,03-5996933,09:00~22:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=2755,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-024,竹北正西店,北部,新竹縣,竹北市,新竹縣竹北市中正西路110號,03-5517076,10:30-21:00(週一~週日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3692,confirmed,confirmed,True,True,QuickClick; Uber Eats,Uber Eats,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-025,中壢環中店,北部,桃園市,中壢區,桃園市中壢區環中東路202號1樓,03-4354355,10:00~21:00（週一~日）,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3280,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-026,中壢福州店,北部,桃園市,中壢區,桃園市中壢區福州二街383號,03-4518969 週一~ 週五10:00-22:00 週六、週日12:00-20:00,,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=936,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-027,中壢青埔店,北部,桃園市,中壢區,桃園市中壢區青埔九街42號,03-28783214,10:00 ~ 19:00,https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1706,confirmed,confirmed,True,True,QuickClick; foodpanda,foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-028,八德介壽店,北部,桃園市,八德區,桃園市八德區建國路1211號,03－3679777,10:00~21:00(週一~五)、 11:00~21:00(週六~日 ),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=1562,confirmed,confirmed,True,True,LINE; QuickClick; Uber Eats; foodpanda,LINE; Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-029,大園和平店,北部,桃園市,大園區,桃園市大園區和平東路90號,03-3863322,10:00~21:00(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3686,confirmed,confirmed,True,True,QuickClick; Uber Eats; foodpanda,Uber Eats; foodpanda,Human-paced Google Order re-check opened the blue order flow and read providers.
chage-030,平鎮義民店,北部,桃園市,平鎮,桃園市平鎮區義民路239號,03-4910928,10:30~20:30(週一~日),https://www.chage.com.tw/edcontent_d.php?lang=tw&tb=3&id=3345,confirmed,no_gmb_order_button,True,False,QuickClick,,"Named GMB profile was verified after rejecting address-only or embedded Maps leads, but no blue Google Order entry was visible during the re-check."
