storeId,storeName,city,district,address,phone,gmbStatus,gmbOrderingStatus,followUpType,suggestedNextStep,gmbUrl,googleSearchUrl,manualReviewReason,checkedAt,lastFollowUpAttemptedAt,lastFollowUpMethod
coco-tw-051,新埔店,新北市,淡水區,新北市淡水區淡金路四段560號,02-28010172,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%96%B0%E5%9F%94%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%B7%A1%E6%B0%B4%E5%8D%80%E6%B7%A1%E9%87%91%E8%B7%AF%E5%9B%9B%E6%AE%B5560%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E6%96%B0%E5%9F%94%E5%BA%97%20%E6%96%B0%E5%8C%97%E5%B8%82%E6%B7%A1%E6%B0%B4%E5%8D%80%E6%B7%A1%E9%87%91%E8%B7%AF%E5%9B%9B%E6%AE%B5560%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-086,安康店,新北市,新店區,新北市新店區安康路二段62號1樓,02-86663631,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%AE%89%E5%BA%B7%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E5%AE%89%E5%BA%B7%E8%B7%AF%E4%BA%8C%E6%AE%B562%E8%99%9F1%E6%A8%93&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E5%AE%89%E5%BA%B7%E5%BA%97%20%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E5%AE%89%E5%BA%B7%E8%B7%AF%E4%BA%8C%E6%AE%B562%E8%99%9F1%E6%A8%93&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-111,新竹巨城店,新竹市,東區,新竹市東區中央路207號,03-5328120,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%96%B0%E7%AB%B9%E5%B7%A8%E5%9F%8E%E5%BA%97+%E6%96%B0%E7%AB%B9%E5%B8%82%E6%9D%B1%E5%8D%80%E4%B8%AD%E5%A4%AE%E8%B7%AF207%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E6%96%B0%E7%AB%B9%E5%B7%A8%E5%9F%8E%E5%BA%97%20%E6%96%B0%E7%AB%B9%E5%B8%82%E6%9D%B1%E5%8D%80%E4%B8%AD%E5%A4%AE%E8%B7%AF207%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-116,湖口中正店,新竹縣,湖口鄉,新竹縣湖口鄉中正路一段2號,03-5903785,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%B9%96%E5%8F%A3%E4%B8%AD%E6%AD%A3%E5%BA%97+%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%B8%80%E6%AE%B52%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E6%B9%96%E5%8F%A3%E4%B8%AD%E6%AD%A3%E5%BA%97%20%E6%96%B0%E7%AB%B9%E7%B8%A3%E6%B9%96%E5%8F%A3%E9%84%89%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%B8%80%E6%AE%B52%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-223,頭份中正店,苗栗縣,頭份市,苗栗縣頭份市中正路190號,037-598033,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E9%A0%AD%E4%BB%BD%E4%B8%AD%E6%AD%A3%E5%BA%97+%E8%8B%97%E6%A0%97%E7%B8%A3%E9%A0%AD%E4%BB%BD%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%B7%AF190%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E9%A0%AD%E4%BB%BD%E4%B8%AD%E6%AD%A3%E5%BA%97%20%E8%8B%97%E6%A0%97%E7%B8%A3%E9%A0%AD%E4%BB%BD%E5%B8%82%E4%B8%AD%E6%AD%A3%E8%B7%AF190%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-252,苗栗三義店,苗栗縣,三義鄉,苗栗縣三義鄉中正路168號,037-870587,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://share.google/tclKdT80ocdMoW9LO,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E8%8B%97%E6%A0%97%E4%B8%89%E7%BE%A9%E5%BA%97%20%E8%8B%97%E6%A0%97%E7%B8%A3%E4%B8%89%E7%BE%A9%E9%84%89%E4%B8%AD%E6%AD%A3%E8%B7%AF168%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-254,捷運北車2店,台北市,中正區,台北市中正區忠孝西路一段49號,02-23111322,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%8D%B7%E9%81%8B%E5%8C%97%E8%BB%8A2%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%A5%BF%E8%B7%AF%E4%B8%80%E6%AE%B549%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E6%8D%B7%E9%81%8B%E5%8C%97%E8%BB%8A2%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E5%BF%A0%E5%AD%9D%E8%A5%BF%E8%B7%AF%E4%B8%80%E6%AE%B549%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-264,遠雄汐止店,新北市,汐止區,新北市汐止區新台五路一段97號,02-26982500,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E9%81%A0%E9%9B%84%E6%B1%90%E6%AD%A2%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%B1%90%E6%AD%A2%E5%8D%80%E6%96%B0%E5%8F%B0%E4%BA%94%E8%B7%AF%E4%B8%80%E6%AE%B597%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E9%81%A0%E9%9B%84%E6%B1%90%E6%AD%A2%E5%BA%97%20%E6%96%B0%E5%8C%97%E5%B8%82%E6%B1%90%E6%AD%A2%E5%8D%80%E6%96%B0%E5%8F%B0%E4%BA%94%E8%B7%AF%E4%B8%80%E6%AE%B597%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-266,高雄大遠百店,高雄市,苓雅區,高雄市苓雅區三多四路21號,073310018,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://share.google/dXH21hulIQls5LPWa,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E9%AB%98%E9%9B%84%E5%A4%A7%E9%81%A0%E7%99%BE%E5%BA%97%20%E9%AB%98%E9%9B%84%E5%B8%82%E8%8B%93%E9%9B%85%E5%8D%80%E4%B8%89%E5%A4%9A%E5%9B%9B%E8%B7%AF21%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
coco-tw-309,中壢大江店,桃園市,大園區,桃園市大園區中正東路三段600號,(03) 381-0989,confirmed,unavailable_or_blocked,blocked_google_order_recheck,"Manual Google session or later Maps/Searchviewer rerun; inspect blue Google Order panel and record 取貨 as pickup, 運送 as delivery.",https://share.google/KB74wkKfAdfrPWEFC,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF%20%E4%B8%AD%E5%A3%A2%E5%A4%A7%E6%B1%9F%E5%BA%97%20%E6%A1%83%E5%9C%92%E5%B8%82%E5%A4%A7%E5%9C%92%E5%8D%80%E4%B8%AD%E6%AD%A3%E6%9D%B1%E8%B7%AF%E4%B8%89%E6%AE%B5600%E8%99%9F&hl=zh-TW,"Named GMB and Google Order audit timed out after 150s; kept as a coverage gap, not as no-ordering evidence. Latest rerun used fixed exact order-button click handling and 取貨/運送 mode mapping; Google Order providers still were not readable.",2026-06-24T17:37:03Z,2026-06-24T18:15:29Z,search_card_fixed_click_pickup_delivery_mapping_rerun
