storeId,platformStoreId,storeName,regionGroup,city,district,address,phone,hours,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,gmbPickupProviders,gmbDeliveryProviders,allSourceSystems,gmbSystems,officialSourceUrl,officialStoreUrl,gmbUrl,gmbOrderPanelUrl,manualReviewReason
coco-tw-001,723,華齡店,北部,台北市,士林區,台北市士林區華齡街16號,02-28828239,11:00:00-21:15:59,confirmed,confirmed,True,True,foodpanda,foodpanda; Uber Eats,Nidin; Uber Eats; foodpanda,Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/723,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E8%8F%AF%E9%BD%A1%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A3%AB%E6%9E%97%E5%8D%80%E8%8F%AF%E9%BD%A1%E8%A1%9716%E8%99%9F&hl=zh-TW&sei=YaQ6asHaHd7R1e8Pm77M8A0,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E8%8F%AF%E9%BD%A1%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A3%AB%E6%9E%97%E5%8D%80%E8%8F%AF%E9%BD%A1%E8%A1%9716%E8%99%9F&hl=zh-TW&sei=YaQ6asHaHd7R1e8Pm77M8A0#sv=CAESzQEKuQEStgEKd0FKaVQ0dExOeWZ3MEtsbk1WWlNCS2hZMGpLd1ZsdklOOEUyTTlPQXJ6Mkcza2x3dE9kYkZIcGw3eWdMNmJHY2NWbmpWeDNUMkJvb2YydTVWQWZfRlhvTEtMSVEtT2ZwTjdaU1NNQ1JnQVJhcmVvMldBZWRyU2JZEhdZYVE2YXMzNkxydmsxZThQb3NQdmlRURoiQURzcjlmU3RJQTFjWXF5ZDJCMy1qVVVseS1FbzYtY05FQRIEODEyNBoBMyoAMAA4AUAAGCog3enchQJKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-002,725,南京五店,北部,台北市,松山區,台北市松山區南京東路五段66巷15號,02-27566366,10:00:00-20:45:59,confirmed,confirmed,True,True,,foodpanda; Uber Eats; Nidin,Nidin; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/725,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%8D%97%E4%BA%AC%E4%BA%94%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF%E4%BA%94%E6%AE%B566%E5%B7%B715%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%8D%97%E4%BA%AC%E4%BA%94%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF%E4%BA%94%E6%AE%B566%E5%B7%B715%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEx1UnhNWVU4SEswOXBNczFQVzQ0MlM2OUktaUVKMDdyc2s0TWt4SV91UzNFc3lyelJIZzY0X2JzQUZidTVDT3F4MTkyOTYtWERnQVZhOEtqenJxNkFSanRVaWdzNVhFUm1lZXh3eFBMVklxU0t3bUxrEhdlS1E2YW9iRkE2cWx2cjBQNXJlQzhBSRoiQURzcjlmUkhrWWJCczdncGowYTFKMEM4THdBYjlBYjc1dxIEODEyNBoBMyoAMAA4AUAAGCoguNPxtwJKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-003,727,吳興店,北部,台北市,信義區,台北市信義區吳興街229號,02-87895685,10:00:00-21:15:59,confirmed,confirmed,True,True,,foodpanda; Uber Eats; Nidin,Nidin; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/727,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%90%B3%E8%88%88%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%90%B3%E8%88%88%E8%A1%97229%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%90%B3%E8%88%88%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%90%B3%E8%88%88%E8%A1%97229%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEpCM25FNzdqZjd1R1BnTVB4c2ZiRkx5bXV0TFptLWxCQ3VDa2EzY0UzZzJJOUtQaTdybWxEZlZ4R0FxX09jalBaZkFOLWJTaExmd3M2XzZLQ0pXUUU5S3Y4ckt6NjhtWWdYM0JrQmk2enZQRjJXSGVJEhdqYVE2YXQzN09JN21vc1VQdy1qVzZRdxoiQURzcjlmUzEtazBYNEZXM040cmpralU4dEhUUGNhOWV4ZxIEODEyNBoBMyoAMAA4AUAAGCog2buT1Q9KAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-004,729,新店民族店,北部,新北市,新店區,新北市新店區民族路243號,02-89110972,10:30:00-21:00:59,confirmed,confirmed,True,True,foodpanda; Nidin,foodpanda; Uber Eats; Nidin,Nidin; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/729,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%96%B0%E5%BA%97%E6%B0%91%E6%97%8F%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E6%B0%91%E6%97%8F%E8%B7%AF243%E8%99%9F&hl=zh-TW&sei=uaQ6asOvHIOVvr0Pze7W2Q0,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%96%B0%E5%BA%97%E6%B0%91%E6%97%8F%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E6%B0%91%E6%97%8F%E8%B7%AF243%E8%99%9F&hl=zh-TW&sei=uaQ6asOvHIOVvr0Pze7W2Q0#sv=CAESzQEKuQEStgEKd0FKaVQ0dEw1cVNXeTFfVGhYUkRqQ0tYUERiYWdPa0NsQ1hXbmE2UXcydjJFSnNGUW1BYzMxX0FEMDUyR0VnM2c2OHctUUF5TVhaNFh4VFFQdFcxcHVsNV8tMXZ0bEtDTDZDUm04OFlLOFpZZXEtMnBGMlA4b3FFEhd1YVE2YXFXdk5LS0IxZThQeS02MmtROBoiQURzcjlmUndZQWVQUnhrUk9IV05UOU02U0N5TjItN3phdxIEODEyNBoBMyoAMAA4AUAAGCog8dqZngFKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-005,733,北投中央北店,北部,台北市,北投區,台北市北投區中央北路二段31號,02-28917920,10:30:00-21:15:00,confirmed,confirmed,True,True,,foodpanda; Uber Eats,Nidin; Uber Eats; foodpanda,Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/733,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%8C%97%E6%8A%95%E4%B8%AD%E5%A4%AE%E5%8C%97%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E4%B8%AD%E5%A4%AE%E5%8C%97%E8%B7%AF%E4%BA%8C%E6%AE%B531%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%8C%97%E6%8A%95%E4%B8%AD%E5%A4%AE%E5%8C%97%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E4%B8%AD%E5%A4%AE%E5%8C%97%E8%B7%AF%E4%BA%8C%E6%AE%B531%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEtwRlB4NlY1Q1BtSlhzOUQ4T0NKN3lIVnZ2bHRxY2VaNzJCSFpmN3pEcmxHeWotZm13Vl9wVlpnZndPYjRFUW5iazd3QWNKRE85Zy11WFI3V3RVNTZncU1FZTB3NkpPdGpMUjN2dk1UQUdMYWJkUk5VEhdIQW84YXJPT0lweVZ2cjBQNDhHMnVRVRoiQURzcjlmVFFISkxYYU5yaldWTFRNWWNtVGx1dnhKWXliURIEODEyNBoBMyoAMAA4AUAAGCogpI7VqwpKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-006,739,汐止忠孝店,北部,新北市,汐止區,新北市汐止區忠孝東路235號,02-86910422,10:30:00-21:40:00,confirmed,confirmed,True,True,foodpanda; Nidin,foodpanda; Uber Eats; Nidin,Nidin; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/739,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%B1%90%E6%AD%A2%E5%BF%A0%E5%AD%9D%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%B1%90%E6%AD%A2%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF235%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%B1%90%E6%AD%A2%E5%BF%A0%E5%AD%9D%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E6%B1%90%E6%AD%A2%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF235%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dExnWHVaTm9OMmNJNlN2SnlRTG5xaW9nM2NXbklnbEQySDFaRGR6SlVkNUZldGJWU2VWMDdTRlNIXy1NX19LWVBTVnc1Qkk5UWpKVTkxU1U4VFA4a2NUUjhwazZEcEY0VzR3RFZpUGJ4cm9fY0NYeVFZEhdKcVU2YXNqSkNOZUp2cjBQNHZXczZBMBoiQURzcjlmUTkyaVZmNEt0NUVtUkVwZURlN0I1Z2pxeUFjZxIEODEyNBoBMyoAMAA4AUAAGCoghcn-5wxKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-007,747,安居店,北部,台北市,大安區,台北市大安區安居街18號,02-27320034,10:30:00-21:15:00,confirmed,confirmed,True,True,foodpanda,foodpanda; Uber Eats,Nidin; Uber Eats; foodpanda,Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/747,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%AE%89%E5%B1%85%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%AE%89%E5%B1%85%E8%A1%9718%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%AE%89%E5%B1%85%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%AE%89%E5%B1%85%E8%A1%9718%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dElIVDhBOVRPWmVfcG1vRVNTWW83TjVOTW9IN1FpcXY2TzBSRl9XVUtYV1JNQzB1ZHRrTXFsaEFJMmhhUFBxS204VjlEekZ0ZWRrODF6TXNzZDZFX1VJcEEyYkIxWDc2LU5RYm14V2FNMzNUcVN3UXRrEhdQS1U2YXFqT0RiR092cjBQM1BENW9BWRoiQURzcjlmVGQ4Umd2MVVLX3FoMHRWYlJERzc2WjR6YkZiQRIEODEyNBoBMyoAMAA4AUAAGCogypmkmAxKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-008,749,景安店,北部,新北市,中和區,新北市中和區景安路154號,02-22447467,11:15:00-22:25:59,confirmed,confirmed,True,True,foodpanda; Nidin,foodpanda; Uber Eats; Nidin,Nidin; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/749,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%99%AF%E5%AE%89%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%92%8C%E5%8D%80%E6%99%AF%E5%AE%89%E8%B7%AF154%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E6%99%AF%E5%AE%89%E5%BA%97+%E6%96%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%92%8C%E5%8D%80%E6%99%AF%E5%AE%89%E8%B7%AF154%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEx0c1VhbzdoNmpNSDZBYzVaaGtieUUtelBxYjBFUlZHaFkzQ3RfZmhjQ09LanB0WGcxM2ZvcHhWOU44NEF0VFk0SU8xXzhuSEV3ZzJmcENiOUxkTjMtYWVyMUdPbndVVFN6bWx2NWV4ZUlETV9MeUxBEhdVcVU2YXZyb0h2X3AxZThQLVp6YThRaxoiQURzcjlmUURYbGJOYlN1RFpYWXRIVGxQNFVDem9mZF9LQRIEODEyNBoBMyoAMAA4AUAAGCogzOuCuARKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-009,751,內湖成功店,北部,台北市,內湖區,台北市內湖區成功路四段59之1號,02-87923188,10:00:00-21:45:00,confirmed,confirmed,True,True,,Uber Eats,Nidin; Uber Eats,Uber Eats,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/751,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%85%A7%E6%B9%96%E6%88%90%E5%8A%9F%E5%BA%97&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%85%A7%E6%B9%96%E6%88%90%E5%8A%9F%E5%BA%97&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dElEZ1ZyY1cxUng4Umh4Q2xmQ1hPSE5wNXZXSWpKbFRxcDdDTzV4RFNPWG1nUi1KWF9TVkFnRUZXVDEwbUZkMlhnNmh6RldPeEtQS1VQcFp1RndyWnIxelVhSTVjQkRSc0JfVjE4NXNSazlmMlF3czEwEhdybUk3YXVQVk1ZV2oxZThQX0otQzBBaxoiQURzcjlmVFhUTW1MSlRXbW1YTnU2QjhJS3dHRHhBWmxvQRIEODEyNBoBMyoAMAA4AUAAGCog94z9xAxKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
coco-tw-010,757,園區2店(光復路上),北部,新竹市,東區,新竹市東區光復路一段125號,03-6686523,10:15:00-22:10:00,confirmed,confirmed,True,True,foodpanda; Nidin,foodpanda; Uber Eats,Nidin; Uber Eats; foodpanda,Nidin; Uber Eats; foodpanda,https://order.nidin.shop/brand/cocotea,https://order.nidin.shop/menu/757,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%9C%92%E5%8D%802%E5%BA%97%28%E5%85%89%E5%BE%A9%E8%B7%AF%E4%B8%8A%29+%E6%96%B0%E7%AB%B9%E5%B8%82%E6%9D%B1%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF%E4%B8%80%E6%AE%B5125%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=CoCo%E9%83%BD%E5%8F%AF+%E5%9C%92%E5%8D%802%E5%BA%97%28%E5%85%89%E5%BE%A9%E8%B7%AF%E4%B8%8A%29+%E6%96%B0%E7%AB%B9%E5%B8%82%E6%9D%B1%E5%8D%80%E5%85%89%E5%BE%A9%E8%B7%AF%E4%B8%80%E6%AE%B5125%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEt1bXBDTjZQZkJ6ZWJjSFFpM3J2dEEwMHZLSTFqX2R1M0Qxam9ZSldoOGJOQ2xURlBwWHB6QzBOd3RUcnJYVWhYTUtRSFNKXzJGaW81RHVTRVZOS2QtMVAzcHhsdzFmMnVUU2hSM19WMlEtMmhqemdZEhd4YVU2YW9UaU1kS1h2cjBQX2NhRnlRZxoiQURzcjlmUWpLY1pFMTZXamYyNV9OR0VXeGVqSVNGUTI5dxIEODEyNBoBMyoAMAA4AUAAGCogqdPCowJKAhAB,Human-paced Google Order re-check opened the blue order flow and read providers.
