storeId,storeName,regionGroup,city,district,address,phone,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,gmbPickupProviders,gmbDeliveryProviders,allSourceSystems,gmbSystems,gmbUrl,gmbOrderPanelUrl,manualReviewReason
"macu-tw-005","中山農安店","北部","台北市","中山區","台北市中山區農安街8-6號1樓","02-25868310","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E4%B8%AD%E5%B1%B1%E8%BE%B2%E5%AE%89%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E8%BE%B2%E5%AE%89%E8%A1%978-6%E8%99%9F1%E6%A8%93&hl=zh-TW&sei=eDxhaqSlM7aB1e8Pydyp6Qc#sv=CAESzQEKuQEStgEKd0FKaVQ0dElCODk0VW45Z0JfOEZiaFphaFgtYkdMTkNFYnFBMEhWaHg5SG50LXlCMXZ3SnR1OWt5UHBKTWNxNjVPNkN3N01XbVV2a3AyQXQ3ZU5zTHJ2bktqN2JNM05ITlp6VFZjN1RfX2szdzhXM1VrcUs5NzdZEhd1Y05nYXRDM0liem4xZThQdnMyWjhRWRoiQURzcjlmVDNETXl3LXphSXNwcFpXeG9xUUYxaDVxWUVxdxIEODEyNBoBMyoAMAA4AUAAGCogt5K-zwU6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E4%B8%AD%E5%B1%B1%E8%BE%B2%E5%AE%89%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E8%BE%B2%E5%AE%89%E8%A1%978-6%E8%99%9F1%E6%A8%93&hl=zh-TW&sei=04Rhat66BLekvr0P4ZupgQM#sv=CAESzQEKuQEStgEKd0FKaVQ0dElCODk0VW45Z0JfOEZiaFphaFgtYkdMTkNFYnFBMEhWaHg5SG50LXlCMXZ3SnR1OWt5UHBKTWNxNjVPNkN3N01XbVV2a3AyQXQ3ZU5zTHJ2bktqN2JNM05ITlp6VFZjN1RfX2szdzhXM1VrcUs5NzdZEhd1Y05nYXRDM0liem4xZThQdnMyWjhRWRoiQURzcjlmVDNETXl3LXphSXNwcFpXeG9xUUYxaDVxWUVxdxIEODEyNBoBMyoAMAA4AUAAGCogt5K-zwU6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-012","內湖康寧店","北部","台北市","內湖區","台北市內湖區康寧路一段54號","02-27952777","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%85%A7%E6%B9%96%E5%BA%B7%E5%AF%A7%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E5%BA%B7%E5%AF%A7%E8%B7%AF%E4%B8%80%E6%AE%B554%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEpUY2hmTEJRUkU0T0J2ZDlJcFVUYlNMbkJ3d05FeVVScldsYUZqcDVOWVlVRi1XVFlKX0VpRFVtNXNVaGdBTEZRb3RqeVJ4ZHlad19uY3BoRGNBTVJ6QXBROWs3c01BcldKelBhYXZPVkREcERidEJVEhd6TU5nYXQyYk1fbnUxZThQNWVPMGdBRRoiQURzcjlmUWZfYVdvSHQzY2ZwQkRWZl90aFhuRmdZbXU1QRIEODEyNBoBMyoAMAA4AUAAGCogsKHMwQ86AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%85%A7%E6%B9%96%E5%BA%B7%E5%AF%A7%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E5%BA%B7%E5%AF%A7%E8%B7%AF%E4%B8%80%E6%AE%B554%E8%99%9F&hl=zh-TW&sei=i4ZhavnBJ4zCvr0PnY-JgAc#sv=CAESzQEKuQEStgEKd0FKaVQ0dEpUY2hmTEJRUkU0T0J2ZDlJcFVUYlNMbkJ3d05FeVVScldsYUZqcDVOWVlVRi1XVFlKX0VpRFVtNXNVaGdBTEZRb3RqeVJ4ZHlad19uY3BoRGNBTVJ6QXBROWs3c01BcldKelBhYXZPVkREcERidEJVEhd6TU5nYXQyYk1fbnUxZThQNWVPMGdBRRoiQURzcjlmUWZfYVdvSHQzY2ZwQkRWZl90aFhuRmdZbXU1QRIEODEyNBoBMyoAMAA4AUAAGCogsKHMwQ86AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-008","內湖科學園區店","北部","台北市","內湖區","台北市內湖區內湖路一段587號","02-26278837","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%85%A7%E6%B9%96%E7%A7%91%E5%AD%B8%E5%9C%92%E5%8D%80%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E5%85%A7%E6%B9%96%E8%B7%AF%E4%B8%80%E6%AE%B5587%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dExFSFJzTW41MmdEb1JRbWx1Mjhid0JOSnFmVGFPUUNNbWRMbGFtTWNBOTdIZE9EMEktcWJFQ21zaVNnTkVnUktZblR3Mk1mY1ZRVU5YWU9GZ3J5b0hzUTU0TmwxRFFYQlM4aWtXbXBBc3MzS2xfME0wEhczOE5nYXFfNkFmSFYxZThQck1TbW1BTRoiQURzcjlmU1N5RnpjNm5pemtfMVV1eEVXNnVFZ3VXSnRmQRIEODEyNBoBMyoAMAA4AUAAGCog5ojnqAY6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%85%A7%E6%B9%96%E7%A7%91%E5%AD%B8%E5%9C%92%E5%8D%80%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E5%85%A7%E6%B9%96%E8%B7%AF%E4%B8%80%E6%AE%B5587%E8%99%9F&hl=zh-TW&sei=Y31har6BIdTZ1e8P9pjIiAw#sv=CAESzQEKuQEStgEKd0FKaVQ0dExFSFJzTW41MmdEb1JRbWx1Mjhid0JOSnFmVGFPUUNNbWRMbGFtTWNBOTdIZE9EMEktcWJFQ21zaVNnTkVnUktZblR3Mk1mY1ZRVU5YWU9GZ3J5b0hzUTU0TmwxRFFYQlM4aWtXbXBBc3MzS2xfME0wEhczOE5nYXFfNkFmSFYxZThQck1TbW1BTRoiQURzcjlmU1N5RnpjNm5pemtfMVV1eEVXNnVFZ3VXSnRmQRIEODEyNBoBMyoAMAA4AUAAGCog5ojnqAY6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-001","北投中央店","北部","台北市","北投區","台北市北投區中央南路一段8號1樓","02-28917497","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8C%97%E6%8A%95%E4%B8%AD%E5%A4%AE%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E4%B8%AD%E5%A4%AE%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B58%E8%99%9F1%E6%A8%93&hl=zh-TW&sei=icRgaqPoH5_c1e8PkueeOQ#sv=CAESzQEKuQEStgEKd0FKaVQ0dEkxSE54Wk5VdTRvakJPMkZCcVNaUjFOa2FwRUlDSmV4Y1diMWZISGpsUVM5OGg0djN6LVdKWGh4bHB4ZDNfclhiZzE0el91SUUxNUVoSWVoSXMxeDRyOGJUNTF5bkpNSldSYTRLQ3E1a3d5WXR2ZmpVEhdpY1JnYW9paUtMTHAxZThQZ2REdjhRRRoiQURzcjlmVDVnTWowR0F0c1lmdDJqQmFCM2poOVloTWVndxIEODEyNBoBMyoAMAA4AUAAGCog7Ord_AM6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8C%97%E6%8A%95%E4%B8%AD%E5%A4%AE%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8C%97%E6%8A%95%E5%8D%80%E4%B8%AD%E5%A4%AE%E5%8D%97%E8%B7%AF%E4%B8%80%E6%AE%B58%E8%99%9F1%E6%A8%93&hl=zh-TW&sei=icRgaqPoH5_c1e8PkueeOQ#sv=CAESzQEKuQEStgEKd0FKaVQ0dEkxSE54Wk5VdTRvakJPMkZCcVNaUjFOa2FwRUlDSmV4Y1diMWZISGpsUVM5OGg0djN6LVdKWGh4bHB4ZDNfclhiZzE0el91SUUxNUVoSWVoSXMxeDRyOGJUNTF5bkpNSldSYTRLQ3E1a3d5WXR2ZmpVEhdpY1JnYW9paUtMTHAxZThQZ2REdjhRRRoiQURzcjlmVDVnTWowR0F0c1lmdDJqQmFCM2poOVloTWVndxIEODEyNBoBMyoAMAA4AUAAGCog7Ord_AM6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-004","南京三民店","北部","台北市","松山區","台北市松山區南京東路五段123巷6弄2號","02-27619820","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8D%97%E4%BA%AC%E4%B8%89%E6%B0%91%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF%E4%BA%94%E6%AE%B5123%E5%B7%B76%E5%BC%842%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEtKUGdvNkdYemdwbl9XZTJxUnNxYko4dnEyOEoxYndUVGlpdHBOMWN2dy1kVDZfLWtHWkkxcmU5UlNDLW5KOXdTdG5DdWdidjk0X1dSSDZFdW5ZSXlhZV9Ld1VjeXhQakNadV9IRl9kNEpOSHJrMXpFEhduTVJnYXVlZUU0YXV2cjBQNllPb3dRaxoiQURzcjlmVFlwdTVZdnBSb2JXaXBubWpkN0xGZElHMHdpdxIEODEyNBoBMyoAMAA4AUAAGCog6PO1rAs6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8D%97%E4%BA%AC%E4%B8%89%E6%B0%91%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF%E4%BA%94%E6%AE%B5123%E5%B7%B76%E5%BC%842%E8%99%9F&hl=zh-TW&sei=_oZhaoTQBsbf1e8Pse_rsA8#sv=CAESzQEKuQEStgEKd0FKaVQ0dEtKUGdvNkdYemdwbl9XZTJxUnNxYko4dnEyOEoxYndUVGlpdHBOMWN2dy1kVDZfLWtHWkkxcmU5UlNDLW5KOXdTdG5DdWdidjk0X1dSSDZFdW5ZSXlhZV9Ld1VjeXhQakNadV9IRl9kNEpOSHJrMXpFEhduTVJnYXVlZUU0YXV2cjBQNllPb3dRaxoiQURzcjlmVFlwdTVZdnBSb2JXaXBubWpkN0xGZElHMHdpdxIEODEyNBoBMyoAMAA4AUAAGCog6PO1rAs6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-007","南港軟體園區店","北部","台北市","南港區","台北市南港區興東街7-2號","02-27888190","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%8D%97%E6%B8%AF%E8%BB%9F%E9%AB%94%E5%9C%92%E5%8D%80%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8D%97%E6%B8%AF%E5%8D%80%E8%88%88%E6%9D%B1%E8%A1%977-2%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dExTVGtVdVZHT2ZJZGg4S0p6Y1VaVnhxeFBtc2tjWGFpek9FdXRwQlpmR2xMU3lZQ1d3RlVhcTV0WW5sTzhZeERMRy1KaGxkUEVOckx5SEZ0NGVfTHZxeEJueEs3bU5nWmxvcHljdDdLbWZCWUV6T013EhdyOFJnYXNLbklvNi12cjBQbE4zam1BdxoiQURzcjlmU0ZLaU9EcHpKLWpiTjZqcldBXzY1bnZRamJFZxIEODEyNBoBMyoAMAA4AUAAGCogvtnVoAE6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%8D%97%E6%B8%AF%E8%BB%9F%E9%AB%94%E5%9C%92%E5%8D%80%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E5%8D%97%E6%B8%AF%E5%8D%80%E8%88%88%E6%9D%B1%E8%A1%977-2%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dExTVGtVdVZHT2ZJZGg4S0p6Y1VaVnhxeFBtc2tjWGFpek9FdXRwQlpmR2xMU3lZQ1d3RlVhcTV0WW5sTzhZeERMRy1KaGxkUEVOckx5SEZ0NGVfTHZxeEJueEs3bU5nWmxvcHljdDdLbWZCWUV6T013EhdyOFJnYXNLbklvNi12cjBQbE4zam1BdxoiQURzcjlmU0ZLaU9EcHpKLWpiTjZqcldBXzY1bnZRamJFZxIEODEyNBoBMyoAMAA4AUAAGCogvtnVoAE6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-011","台北信陽店","北部","台北市","中正區","台北市中正區信陽街25號1樓","02-23311555","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%8F%B0%E5%8C%97%E4%BF%A1%E9%99%BD%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E4%BF%A1%E9%99%BD%E8%A1%9725%E8%99%9F1%E6%A8%93&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dElPOTFuUWF0TGZSOEZsbHBpRFVpajAtdDlBeTZrbHlPUFgxN29KTUFGVXVXWW9maWZpYjR3X0JZZGVteVJZQTY1TVlKUC1JY2JjbUthLWdaUTV4T2plS2ZMY1pOR3c4cUlaMG5ORVVrVk1RVW1LNURFEhd4Y1JnYXFMbkhNR212cjBQNk9qSHVRNBoiQURzcjlmUTBoRjVlU2RpMGlUbldvVUV5c0ZaMks2dzQ3dxIEODEyNBoBMyoAMAA4AUAAGCogu_HmkQ86AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A%20%E5%8F%B0%E5%8C%97%E4%BF%A1%E9%99%BD%E5%BA%97%20%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E4%BF%A1%E9%99%BD%E8%A1%9725%E8%99%9F1%E6%A8%93&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dElPOTFuUWF0TGZSOEZsbHBpRFVpajAtdDlBeTZrbHlPUFgxN29KTUFGVXVXWW9maWZpYjR3X0JZZGVteVJZQTY1TVlKUC1JY2JjbUthLWdaUTV4T2plS2ZMY1pOR3c4cUlaMG5ORVVrVk1RVW1LNURFEhd4Y1JnYXFMbkhNR212cjBQNk9qSHVRNBoiQURzcjlmUTBoRjVlU2RpMGlUbldvVUV5c0ZaMks2dzQ3dxIEODEyNBoBMyoAMAA4AUAAGCogu_HmkQ86AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-002","台北公館店","北部","台北市","中正區","100台北市中正區羅斯福路三段316巷5號","02-23672307","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%B8%89%E6%AE%B5316%E5%B7%B75%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEoxRHF4ZGZja3ljX2pnYWFZTW9SeGNtVUJBZW1FV1lEOG9vSDZDZU9qZUl5ZmZCMXBFZEk4ZTloN3ZNR1B2akZKaHRCOUZfVVdMb05uYktGTDFOZTg4UEZLR0NPamY5NkhCTTZkQ0cxempYNW96QjJrEhcyY1JnYXFDTkVzR052cjBQaXJtbzJRcxoiQURzcjlmU1ZJV3dYWkNlWjBMaGJMdVZLaXlBMk5iV2NldxIEODEyNBoBMyoAMAA4AUAAGCog4dLL7wc6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8F%B0%E5%8C%97%E5%85%AC%E9%A4%A8%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF%E4%B8%89%E6%AE%B5316%E5%B7%B75%E8%99%9F&hl=zh-TW&sei=w4ZharfoKaf21e8Pk6uo2Qk#sv=CAESzQEKuQEStgEKd0FKaVQ0dEoxRHF4ZGZja3ljX2pnYWFZTW9SeGNtVUJBZW1FV1lEOG9vSDZDZU9qZUl5ZmZCMXBFZEk4ZTloN3ZNR1B2akZKaHRCOUZfVVdMb05uYktGTDFOZTg4UEZLR0NPamY5NkhCTTZkQ0cxempYNW96QjJrEhcyY1JnYXFDTkVzR052cjBQaXJtbzJRcxoiQURzcjlmU1ZJV3dYWkNlWjBMaGJMdVZLaXlBMk5iV2NldxIEODEyNBoBMyoAMAA4AUAAGCog4dLL7wc6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-014","台北大安信義店","北部","台北市","大安區","台北市大安區信義路三段190號","02-27557655","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%AE%89%E4%BF%A1%E7%BE%A9%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E4%BF%A1%E7%BE%A9%E8%B7%AF%E4%B8%89%E6%AE%B5190%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEpCZUh3WHNNUmlyaHVHclpSSjJDbWVaVTFPTG5QaDI2aDJuMDR1LU0wTWxqUnV3Q0s4ekRxdEh2LTM5cWRUQjdLSkx5M2pLNU1NTDF2V19tTzdPRWgyQ291N1Z4bkpJcjdCZ3ZsZWZ4N0VvQ3VwTkxZEhc2OFJnYXM2eExwMjR2cjBQcGI2eTBRYxoiQURzcjlmUjBOcjJVMTV2NmZhSFY3Z0dQYkdTc0NEdF80URIEODEyNBoBMyoAMAA4AUAAGCog-f-c9wY6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8F%B0%E5%8C%97%E5%A4%A7%E5%AE%89%E4%BF%A1%E7%BE%A9%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E4%BF%A1%E7%BE%A9%E8%B7%AF%E4%B8%89%E6%AE%B5190%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEpCZUh3WHNNUmlyaHVHclpSSjJDbWVaVTFPTG5QaDI2aDJuMDR1LU0wTWxqUnV3Q0s4ekRxdEh2LTM5cWRUQjdLSkx5M2pLNU1NTDF2V19tTzdPRWgyQ291N1Z4bkpJcjdCZ3ZsZWZ4N0VvQ3VwTkxZEhc2OFJnYXM2eExwMjR2cjBQcGI2eTBRYxoiQURzcjlmUjBOcjJVMTV2NmZhSFY3Z0dQYkdTc0NEdF80URIEODEyNBoBMyoAMAA4AUAAGCog-f-c9wY6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
"macu-tw-015","台北小巨蛋店","北部","台北市","松山區","台北市松山區南京東路四段133巷5-1號","02-25458111","confirmed","confirmed","true","true","","Uber Eats","LINE、Uber Eats、食在麻吉 eathere","Uber Eats","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8F%B0%E5%8C%97%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF%E5%9B%9B%E6%AE%B5133%E5%B7%B75-1%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dElKTjY1WUhJOEJpMkphRkNTaklPcjc5SWVxVDFFcksweV9ZNEU2Wm5EV3VIM1NEWmkzN095YTJhQ1VZOUI4Sk9EWEdlNjZtSDlTaGpLWlB0Umg1TlpGeGYwSEM4OXIzbXp6MVBXVU4wTkhUQ0NzNkU4EhdfY1JnYXFPNkstangxZThQdXJlT3NROBoiQURzcjlmUkFnUlp6aFlyWW1GXzZzUWxMZ3ljMkZjRnVodxIEODEyNBoBMyoAMAA4AUAAGCogn9r-nAY6AEoCEAE","https://www.google.com/search?q=%E9%BA%BB%E5%8F%A4%E8%8C%B6%E5%9D%8A+%E5%8F%B0%E5%8C%97%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97+%E5%8F%B0%E5%8C%97%E5%B8%82%E6%9D%BE%E5%B1%B1%E5%8D%80%E5%8D%97%E4%BA%AC%E6%9D%B1%E8%B7%AF%E5%9B%9B%E6%AE%B5133%E5%B7%B75-1%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dElKTjY1WUhJOEJpMkphRkNTaklPcjc5SWVxVDFFcksweV9ZNEU2Wm5EV3VIM1NEWmkzN095YTJhQ1VZOUI4Sk9EWEdlNjZtSDlTaGpLWlB0Umg1TlpGeGYwSEM4OXIzbXp6MVBXVU4wTkhUQ0NzNkU4EhdfY1JnYXFPNkstangxZThQdXJlT3NROBoiQURzcjlmUkFnUlp6aFlyWW1GXzZzUWxMZ3ljMkZjRnVodxIEODEyNBoBMyoAMAA4AUAAGCogn9r-nAY6AEoCEAE","Playwright batch opened Google Order flow and read visible pickup/delivery providers."
