storeId,storeName,district,address,phone,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,gmbPickupProviders,gmbDeliveryProviders,allSourceSystems,gmbSystems,gmbUrl,gmbOrderPanelUrl,manualReviewReason
nanchangli-001,福生小吃,中西區,台南市中西區海安路一段100號,06-2282998,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E7%A6%8F%E7%94%9F%E5%B0%8F%E9%A3%9F%E5%BA%97/@22.9895572,120.1954596,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767a58c7b235:0x20b4544152ebca6b!8m2!3d22.9895572!4d120.1954596!16s%2Fg%2F1v3gpnpw?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
nanchangli-002,葉鳳浮水魚羹,中西區,台南市中西區保安路81號,06-2215111,confirmed,no_gmb_order_button,True,False,,,,,https://www.google.com/maps/place/%E8%91%89%E9%B3%B3%E6%B5%AE%E6%B0%B4%E9%AD%9A%E7%BE%B9/data=!4m7!3m6!1s0x346e767aef8d7951:0x8dd6917ce9550aa2!8m2!3d22.9903602!4d120.1957238!16s%2Fg%2F11b73kxdlb!19sChIJUXmN73p2bjQRogpV6XyR1o0?authuser=0&hl=zh-TW&rclk=1,,
nanchangli-003,大勇街無名鹹粥,中西區,台南市中西區大勇街85號,06-2267028,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E5%A4%A7%E5%8B%87%E8%A1%97%E7%84%A1%E5%90%8D%E9%B9%B9%E7%B2%A5/@22.9898423,120.1933084,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7664ea3bd105:0xf5e6c58f66898ce8!8m2!3d22.9898423!4d120.1933084!16s%2Fg%2F11h084chb?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
nanchangli-004,下大道旗魚羹,中西區,台南市中西區西門路一段703巷40號,06-2236933,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E4%B8%8B%E5%A4%A7%E9%81%93%E6%97%97%E9%AD%9A%E7%BE%B9/@22.9887205,120.1957467,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767a4f5fca27:0x278d689999c0b00a!8m2!3d22.9887205!4d120.1957467!16s%2Fg%2F11g_vfhs_?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
nanchangli-005,你我他之家滷味,中西區,台南市中西區大德街69號,06-2251396,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E4%BD%A0%E6%88%91%E4%BB%96%E4%B9%8B%E5%AE%B6/@22.9886701,120.1960476,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767a4e7dcf3f:0x6fa82290a0c73f1e!8m2!3d22.9886701!4d120.1960476!16s%2Fg%2F1tlvm8q_?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
nanchangli-006,下大道蘭米糕,中西區,台南市中西區康樂街6號,06-2210076,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E4%B8%8B%E5%A4%A7%E9%81%93%E8%98%AD%E7%B1%B3%E7%B3%95/@22.9898958,120.1939339,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767a7e69ce1d:0x2ad2c29ac6c7a4a0!8m2!3d22.9898958!4d120.1939339!16s%2Fg%2F1thxszhg?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
nanchangli-007,木村家紅茶,中西區,台南市中西區永華路一段210號,,confirmed,confirmed,True,True,foodpanda；Uber Eats,foodpanda；Uber Eats,Uber Eats；foodpanda,Uber Eats；foodpanda,"https://www.google.com/maps/place/%E6%9C%A8%E6%9D%91%E5%AE%B6+%E8%81%B7%E4%BA%BA%E8%8C%B6%E5%B1%8B/@22.9883945,120.1913481,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767834d17c4d:0xf9905a544f9738f7!8m2!3d22.9883945!4d120.1913481!16s%2Fg%2F11btz1lpq6?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFidHoxbHBxNhgAOgMI8A0%3D&g2lbs=AEzIGDux1kVS2rr4YBTBPr4cg_yA1OSHAbRWvnDzD9WmWtXx-13WASpAZwhgg3vbXGhRHLibrWL9&hl=zh-Hant-TW&gl=tw&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=rH2FasriEcTm1e8P4vGX-Qs&ei=rH2FasriEcTm1e8P4vGX-Qs&fo_s=OA,SOE&opi=79508299&ebb=1&cs=0&foub=mcpp",
nanchangli-008,阿樂師油雞,中西區,台南市中西區大勇街53號,,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E9%98%BF%E6%A8%82%E5%B8%AB%E6%B2%B9%E9%9B%9E/@22.9897159,120.1938769,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767a7b84919d:0xf09a8fa3df0ec5d3!8m2!3d22.9897159!4d120.1938769!16s%2Fg%2F11c0z9jjcr?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
nanchangli-009,牛家莊牛肉湯,中西區,台南市中西區永華路一段108號,06-2222406,confirmed,no_gmb_order_button,True,False,,,,,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E5%B8%82%E7%89%9B%E5%AE%B6%E8%8E%8A%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m7!3m6!1s0x346e767a059d39cb:0xa396e5d3dd1f8587!8m2!3d22.9895906!4d120.1944004!16s%2Fg%2F11fy4mj04n!19sChIJyzmdBXp2bjQRh4Uf3dPllqM?authuser=0&hl=zh-TW&rclk=1,,
nanchangli-010,醇涎坊古早味鍋燒意麵,中西區,台南市中西區保安路53號,06-2215033,confirmed,no_gmb_order_button,True,False,,,,,"https://www.google.com/maps/place/%E9%86%87%E6%B6%8E%E5%9D%8A%E5%8F%A4%E6%97%A9%E5%91%B3%E9%8D%8B%E7%87%92%E6%84%8F%E9%BA%B5/@22.9902477,120.1964203,17z/data=!3m1!4b1!4m6!3m5!1s0x346e767ae265ddc3:0x892d4d9889492eaf!8m2!3d22.9902477!4d120.1964203!16s%2Fg%2F1th0w315?entry=ttu&g_ep=EgoyMDI2MDgxNi4wIKXMDSoASAFQAw%3D%3D",,
