storeId,storeName,regionGroup,city,district,address,phone,gmbStatus,gmbOrderingStatus,systems,gmbProviders,gmbOrderLinks,gmbUrl,manualReviewReason
pbcafe-001,彼得好咖啡 中山民權店,北部,台北市,中山區,臺北市中山區集英里中山北路二段160號,02 2591 0512,confirmed,confirmed,"Uber Eats, foodpanda","Uber Eats, foodpanda","Uber Eats: https://www.ubereats.com/tw/store/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1-%E6%B0%91%E6%AC%8A%E4%B8%AD%E5%B1%B1%E5%BA%97/FppTFOunWsqEtHjk6Ag8zA?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas&rwg_token=AFd1xnE8LAYK0JzoYRET5rTtle2lZssw4jP2h3GnvXomgSW6fUVW-TGMXYjokbvrdUiaVofyJ-bwer8pY3m3E-Tr81HJnGmyDg%3D%3D, foodpanda: https://www.foodpanda.com.tw/food-ordering?c=tw&s=s&vc=ab3v&adj_t=1naixy2v_1nsybtos&adj_campaign=google_reserve_place_order_action_CH-SEO_&adj_deep_link=foodpanda%3A%2F%2F%3Fc%3Dtw%26s%3Ds%26vc%3Dab3v&adj_fallback=https://foodpanda.com.tw/restaurant/ab3v/bi-de-hao-ka-pei-zhong-shan-min-quan-dian?utm_campaign=google_reserve_place_order_action_CH-SEO_&adj_redirect_macos=https://foodpanda.com.tw/restaurant/ab3v/bi-de-hao-ka-pei-zhong-shan-min-quan-dian?utm_campaign=google_reserve_place_order_action_CH-SEO_","https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1+%E4%B8%AD%E5%B1%B1%E6%B0%91%E6%AC%8A%E5%BA%97/@25.063085,121.517713,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x3442a9648a8812ff:0x8faa6ac7fd0e5a40!2z5b285b6X5aW95ZKW5ZWhIOS4reWxseawkeasiuW6lw!8m2!3d25.0630851!4d121.5223211!16s%2Fg%2F11tp35k36y!3m5!1s0x3442a9648a8812ff:0x8faa6ac7fd0e5a40!8m2!3d25.0630851!4d121.5223211!16s%2Fg%2F11tp35k36y?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",
pbcafe-002,彼得好咖啡 忠孝復興店,北部,台北市,大安區,臺北市大安區誠安里安東街52-3號,02 2771 9717,confirmed,no_gmb_order_button,,,,"https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1%EF%BC%88%E5%BF%A0%E5%AD%9D%E5%BE%A9%E8%88%88%E5%BA%97%EF%BC%89Peter+Better+Cafe/@25.0424041,121.5427306,17z/data=!3m1!4b1!4m6!3m5!1s0x3442abdad5d4ddb5:0x4157cc1d64f7c12d!8m2!3d25.0424041!4d121.5427306!16s%2Fg%2F11z5qll17_?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",Google Maps list and stored profile recheck did not show an online-order entry in this bounded scan.
pbcafe-003,彼得好咖啡 南港昆陽店,北部,台北市,南港區,臺北市南港區西新里昆陽街92號,02 2651 1213,confirmed,no_gmb_order_button,,,,"https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1+%E5%8D%97%E6%B8%AF%E6%98%86%E9%99%BD%E5%BA%97/@25.0517727,121.5888072,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x3442ab0e68c74a83:0x314e7df355f9728!2z5b285b6X5aW95ZKW5ZWhIOWNl-a4r-aYhumZveW6lw!8m2!3d25.0517728!4d121.5934153!16s%2Fg%2F11yqk7hl1q!3m5!1s0x3442ab0e68c74a83:0x314e7df355f9728!8m2!3d25.0517728!4d121.5934153!16s%2Fg%2F11yqk7hl1q?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",Google Maps list and stored profile recheck did not show an online-order entry in this bounded scan.
pbcafe-004,彼得好咖啡 三創門市,北部,台北市,中正區,臺北市中正區梅花里八德路一段104號,02 3322 1180,confirmed,confirmed,"Uber Eats, foodpanda","Uber Eats, foodpanda","Uber Eats: https://www.ubereats.com/tw/store/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1-%E4%B8%89%E5%89%B5%E9%96%80%E5%B8%82/47ZDQH4KT6W67ZbYNpl5WQ?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas&rwg_token=AFd1xnFkBxKH_5Z8Oue7EjVVUCcFuSk5lfpzVk2RGORpimQlZqWB-lF9nHOtLMooC5N3CJr5cEwrTKnZKXri9ON3Di9HWFbYKQ%3D%3D, foodpanda: https://www.foodpanda.com.tw/food-ordering?c=tw&s=s&vc=sfs1&adj_t=1naixy2v_1nsybtos&adj_campaign=google_reserve_place_order_action_CH-SEO_&adj_deep_link=foodpanda%3A%2F%2F%3Fc%3Dtw%26s%3Ds%26vc%3Dsfs1&adj_fallback=https://foodpanda.com.tw/restaurant/sfs1/bi-de-hao-ka-pei-tai-bei-san-chuang-dian?utm_campaign=google_reserve_place_order_action_CH-SEO_&adj_redirect_macos=https://foodpanda.com.tw/restaurant/sfs1/bi-de-hao-ka-pei-tai-bei-san-chuang-dian?utm_campaign=google_reserve_place_order_action_CH-SEO_","https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1%E4%B8%89%E5%89%B5%E9%96%80%E5%B8%82/@25.0441641,121.5324522,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a94c6f911fe5:0xd08c843335ee0b33!8m2!3d25.0441641!4d121.5324522!16s%2Fg%2F11pdy5vn24?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",
pbcafe-005,彼得好咖啡 民生雙連店,北部,台北市,大同區,"號, 民生西路雙連里大同區臺北市103",02 2558 0386,confirmed,confirmed,Uber Eats,Uber Eats,Uber Eats: https://www.ubereats.com/tw/store/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1-%E6%B0%91%E7%94%9F%E9%9B%99%E9%80%A3%E5%BA%97/NtuxrmV0QNK8Xq8NBNtyRQ?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas&rwg_token=AFd1xnEyjOe_5cdKezF1VCp-Nm4XIa6tZc2Bkv7K-C5_AzWi_ijyJKK4w6BsQsEzdQvWbXliTQfhGb3yJb7JHRhkJpNhTqoKQg%3D%3D,"https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1+%E6%B0%91%E7%94%9F%E9%9B%99%E9%80%A3%E5%BA%97/@25.0572847,121.5140421,16z/data=!3m1!4b1!4m14!1m7!3m6!1s0x3442a9c32271c9c7:0xa4399291870aa6ac!2z5b285b6X5aW95ZKW5ZWhIOawkeeUn-mbmemAo-W6lw!8m2!3d25.0572848!4d121.5186502!16s%2Fg%2F11nf_1pgkj!3m5!1s0x3442a9c32271c9c7:0xa4399291870aa6ac!8m2!3d25.0572848!4d121.5186502!16s%2Fg%2F11nf_1pgkj?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",
pbcafe-006,彼得好咖啡 大巨蛋國館店,北部,台北市,大安區,台北市大安區光復南路180巷9號,,confirmed,no_gmb_order_button,,,,"https://www.google.com/maps/search/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1+%E5%A4%A7%E5%B7%A8%E8%9B%8B%E5%9C%8B%E9%A4%A8%E5%BA%97/@25.046803,121.5558385,16z/data=!3m1!4b1?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",Google Maps list and stored profile recheck did not show an online-order entry in this bounded scan.
pbcafe-007,彼得好咖啡 石牌榮總門市,北部,台北市,北投區,臺北市北投區振華里石牌路二段120號,02 2828 0024,confirmed,no_gmb_order_button,,,,"https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1%E7%9F%B3%E7%89%8C%E6%A6%AE%E7%B8%BD%E9%96%80%E5%B8%82/@25.117813,121.517267,17z/data=!3m1!4b1!4m6!3m5!1s0x3442af53f45bbe7f:0xb371f0a93c7dd0be!8m2!3d25.117813!4d121.517267!16s%2Fg%2F11xggfz6l5?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",Google Maps list and stored profile recheck did not show an online-order entry in this bounded scan.
pbcafe-008,彼得好咖啡 東門永康門市,北部,台北市,大安區,臺北市大安區永康里信義路二段108號,02 2397 0397,confirmed,confirmed,foodpanda,foodpanda,foodpanda: https://www.foodpanda.com.tw/food-ordering?c=tw&s=s&vc=azus&adj_t=1naixy2v_1nsybtos&adj_campaign=google_reserve_place_order_action_CH-SEO_&adj_deep_link=foodpanda%3A%2F%2F%3Fc%3Dtw%26s%3Ds%26vc%3Dazus&adj_fallback=https://foodpanda.com.tw/restaurant/azus/bi-de-hao-ka-pei-dong-men-yong-kang-dian-azus?utm_campaign=google_reserve_place_order_action_CH-SEO_&adj_redirect_macos=https://foodpanda.com.tw/restaurant/azus/bi-de-hao-ka-pei-dong-men-yong-kang-dian-azus?utm_campaign=google_reserve_place_order_action_CH-SEO_,"https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1+%E6%9D%B1%E9%96%80%E6%B0%B8%E5%BA%B7%E9%96%80%E5%B8%82/@25.033812,121.5230408,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x3442a975bdb21961:0xb48105c4b6eb93a0!2z5b285b6X5aW95ZKW5ZWhIOadsemWgOawuOW6t-mWgOW4gg!8m2!3d25.0338121!4d121.5276489!16s%2Fg%2F11t409f107!3m5!1s0x3442a975bdb21961:0xb48105c4b6eb93a0!8m2!3d25.0338121!4d121.5276489!16s%2Fg%2F11t409f107?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",
pbcafe-009,彼得好咖啡 信義大安店,北部,台北市,大安區,臺北市大安區龍圖里信義路三段170號,02 2700 0234,confirmed,confirmed,Uber Eats,Uber Eats,Uber Eats: https://www.ubereats.com/tw/store/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1-%E4%BF%A1%E7%BE%A9%E5%A4%A7%E5%AE%89%E5%BA%97/yseoORtURFidl3vQDMD9UQ?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas&rwg_token=AFd1xnHKjK4UpvJAD3F-nRMwP02YSv3_AKcn9Vba9S0I2Pmv6C42QUd7NOaIvRC8g9N1GN9NhAEb-DcMPmIEkrK5iNXxDsd51A%3D%3D,"https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1%EF%BC%88%E4%BF%A1%E7%BE%A9%E5%A4%A7%E5%AE%89%E5%BA%97%EF%BC%89/@25.033173,121.542029,17z/data=!3m1!4b1!4m6!3m5!1s0x3442abd499db9dfd:0xb77e55cb4afbc946!8m2!3d25.033173!4d121.542029!16s%2Fg%2F11g81r05nh?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",
pbcafe-010,彼得好咖啡 小巨蛋店,北部,台北市,松山區,臺北市松山區美仁里南京東路四段116號,02 2577 7085,confirmed,confirmed,"LINE, Uber Eats, foodpanda","LINE, Uber Eats, foodpanda","LINE: https://lin.ee/oaB4Yj8, Uber Eats: https://www.ubereats.com/tw/store/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1-%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97/PCCe_ZFJTTKD3HClvHsR6A?utm_campaign=CM2508147-search-free-nonbrand-google-pas_e_all_acq_Global&utm_medium=search-free-nonbrand&utm_source=google-pas&rwg_token=AFd1xnH1lOyXwauywpEueZuo2r787xlgM3mkEBgiC56wXC8LFaGBwhaABKDTLo7xuQ0AzgdVbAJbHnB8dW9agxLjVunMYU1Ohw%3D%3D, foodpanda: https://www.foodpanda.com.tw/food-ordering?c=tw&s=s&vc=gsce&adj_t=1naixy2v_1nsybtos&adj_campaign=google_reserve_place_order_action_CH-SEO_&adj_deep_link=foodpanda%3A%2F%2F%3Fc%3Dtw%26s%3Ds%26vc%3Dgsce&adj_fallback=https://foodpanda.com.tw/restaurant/gsce/bi-de-hao-ka-pei-song-shan-ju-dan-dian?utm_campaign=google_reserve_place_order_action_CH-SEO_&adj_redirect_macos=https://foodpanda.com.tw/restaurant/gsce/bi-de-hao-ka-pei-song-shan-ju-dan-dian?utm_campaign=google_reserve_place_order_action_CH-SEO_","https://www.google.com/maps/place/%E5%BD%BC%E5%BE%97%E5%A5%BD%E5%92%96%E5%95%A1+%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97/@25.0514907,121.5502,17z/data=!3m1!4b1!4m14!1m7!3m6!1s0x3442ab093d4578cd:0x6c643e86f12bd663!2z5b285b6X5aW95ZKW5ZWhIOWwj-W3qOibi-W6lw!8m2!3d25.0514908!4d121.5548081!16s%2Fg%2F11g0h_2kkm!3m5!1s0x3442ab093d4578cd:0x6c643e86f12bd663!8m2!3d25.0514908!4d121.5548081!16s%2Fg%2F11g0h_2kkm?hl=zh-TW&entry=ttu&g_ep=EgoyMDI2MDYxMy4wIKXMDSoASAFQAw%3D%3D",
