storeId,storeName,regionGroup,city,district,address,phone,gmbStatus,gmbOrderingStatus,hasAnyOrderingSystem,hasGmbOrderingSystem,allSourceSystems,gmbSystems,pickupProviders,deliveryProviders,officialSourceUrl,officialStoreUrl,gmbUrl,evidenceLinks,manualReviewReason
teamagichand-tw-001,台南永吉店,南部,台南市,七股區,台南市七股區永吉里17之36號,06-7881292,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E5%8F%B0%E5%8D%97%E6%B0%B8%E5%90%89%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%83%E8%82%A1%E5%8D%80%E6%B0%B8%E5%90%89%E9%87%8C17%E4%B9%8B36%E8%99%9F&hl=zh-TW&sei=3lc8atm6IduUvr0PzoPy8Qw,,Prior named GMB profile re-check found no blue Google Order entry; later low-resource retry was unstable/blocked and was not used to change status.
teamagichand-tw-002,七股龍山店,南部,台南市,七股區,台南市七股區玉成里26號,06-7872288,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E4%B8%83%E8%82%A1%E9%BE%8D%E5%B1%B1%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%83%E8%82%A1%E5%8D%80%E7%8E%89%E6%88%90%E9%87%8C26%E8%99%9F&hl=zh-TW,,Prior named GMB profile re-check found no blue Google Order entry; later low-resource retry was unstable/blocked and was not used to change status.
teamagichand-tw-003,下營中山二店,南部,台南市,下營區,台南市下營區中山路一段172號,06-6897777,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://share.google/EP5HbNoqlWbtlz9tb,,
teamagichand-tw-004,民族萬昌店,南部,台南市,中西區,台南市中西區民族路二段52號,06-2220312,confirmed,confirmed,True,True,foodpanda,foodpanda,foodpanda,foodpanda,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E6%B0%91%E6%97%8F%E8%90%AC%E6%98%8C%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E6%B0%91%E6%97%8F%E8%B7%AF%E4%BA%8C%E6%AE%B552%E8%99%9F&hl=zh-TW&sei=b0g-asDiEP_X1e8P9b7GUA,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E6%B0%91%E6%97%8F%E8%90%AC%E6%98%8C%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E6%B0%91%E6%97%8F%E8%B7%AF%E4%BA%8C%E6%AE%B552%E8%99%9F&hl=zh-TW&sei=b0g-asDiEP_X1e8P9b7GUA#sv=CAESzQEKuQEStgEKd0FKaVQ0dEs0SnVEQTBoQVVxTF8xS0RjbGJ1WTJFMjJkQmhkV2R4N0xqRTRvQndBcnJEYTkyUDd3NVNkNGRWWW5sckJxWnRjamlHczhLeVJYMGlkY3VYVmllVnlkYTZtcHRSc3pwWTdYNTNrUWZ2dWVSTnloLXpZEhdlMGctYXJPLU1KX08xZThQM3EyajhBSRoiQURzcjlmU0QwUUF6TlAwUE5ZMmp5OUdOQ0ZZUjhORWRFZxIEODEyNBoBMyoAMAA4AUAAGCog5piM0wtKAhAB,Human-paced Google Order re-check opened the blue order flow and explicitly read pickup/delivery modes.
teamagichand-tw-005,台南武聖店,南部,台南市,中西區,台南市中西區武聖路69巷41號,06-2509093,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://share.google/TTxiK2EC4v1p7qWRA,,
teamagichand-tw-006,小西門店,南部,台南市,中西區,台南市中西區西門路一段716之1號,06-2133666,confirmed,confirmed,True,True,foodpanda,foodpanda,foodpanda,foodpanda,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E5%B0%8F%E8%A5%BF%E9%96%80%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E8%A5%BF%E9%96%80%E8%B7%AF%E4%B8%80%E6%AE%B5716%E4%B9%8B1%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E5%B0%8F%E8%A5%BF%E9%96%80%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E8%A5%BF%E9%96%80%E8%B7%AF%E4%B8%80%E6%AE%B5716%E4%B9%8B1%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEtMeFktaGxwUlVXcGxYSk42X2t6ZFZ6bG4tNE82QjdZOVB2cGVkN1pOZ09ZN1hqODhOdFNIS3VrQlVsdHlnLTI3V2RiS3k4SnRSMkFfbHQwN3lqN2NyZDlkR25WQUkzM2dNcHhtMGtHNW1lc1BjMC1BEhdrVWctYXJlWU5Odm4xZThQa01qX2dBdxoiQURzcjlmU3NJSmtrNWxEaUh1czZwRW5FR3RybVVkVXBsQRIEODEyNBoBMyoAMAA4AUAAGCog6-zZoQNKAhAB,Human-paced Google Order re-check opened the blue order flow and explicitly read pickup/delivery modes.
teamagichand-tw-007,府前店,南部,台南市,中西區,台南市中西區府前路二段42號,06-2266579,confirmed,confirmed,True,True,foodpanda,foodpanda,foodpanda,foodpanda,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E5%BA%9C%E5%89%8D%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E5%BA%9C%E5%89%8D%E8%B7%AF%E4%BA%8C%E6%AE%B542%E8%99%9F&hl=zh-TW,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E5%BA%9C%E5%89%8D%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E5%BA%9C%E5%89%8D%E8%B7%AF%E4%BA%8C%E6%AE%B542%E8%99%9F&hl=zh-TW#sv=CAESzQEKuQEStgEKd0FKaVQ0dEtMOWNDbXBseXBxblRQQVVkVGl4TkdxVlQ2MG1TRzJjcjFrdHVjRUF0OENBRUJoanNteW5GcW1QQUNVdVRoNnRxWXpXSWs5cDljaDhYUExpRnA2anRSSExESERaZ3lpXy1ralFiYXpfTHlWdGlMR2lrEhdwa2ctYXZpYUxKbWZ2cjBQc3FpWjJRaxoiQURzcjlmU2U2RElNcFNRSVZvYk5LUnR5ZXp4d09sdWJwdxIEODEyNBoBMyoAMAA4AUAAGCogkdqf9ARKAhAB,Human-paced Google Order re-check opened the blue order flow and explicitly read pickup/delivery modes.
teamagichand-tw-008,開山店,南部,台南市,中西區,台南市中西區府中街81號,06-2203926,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E9%96%8B%E5%B1%B1%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E5%BA%9C%E4%B8%AD%E8%A1%9781%E8%99%9F&hl=zh-TW,,Prior named GMB profile re-check found no blue Google Order entry; later low-resource retry was unstable/blocked and was not used to change status.
teamagichand-tw-009,民族三店,南部,台南市,中西區,台南市中西區民族路三段268號,06-2211483,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E6%B0%91%E6%97%8F%E4%B8%89%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E6%B0%91%E6%97%8F%E8%B7%AF%E4%B8%89%E6%AE%B5268%E8%99%9F&hl=zh-TW,,Prior named GMB profile re-check found no blue Google Order entry; later low-resource retry was unstable/blocked and was not used to change status.
teamagichand-tw-010,台南民生店,南部,台南市,中西區,台南市中西區民生路二段157號,06-2206798,confirmed,no_gmb_order_button,False,False,,,,,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.teamagichand.com.tw/store/?index_m_id=1&city=%E5%8F%B0%E5%8D%97%E5%B8%82,https://www.google.com/search?q=%E8%8C%B6%E4%B9%8B%E9%AD%94%E6%89%8B+%E5%8F%B0%E5%8D%97%E6%B0%91%E7%94%9F%E5%BA%97+%E5%8F%B0%E5%8D%97%E5%B8%82%E4%B8%AD%E8%A5%BF%E5%8D%80%E6%B0%91%E7%94%9F%E8%B7%AF%E4%BA%8C%E6%AE%B5157%E8%99%9F&hl=zh-TW&sei=hl4-arDqF-XO1e8PycX6mAE,,"Named GMB profile was verified after rejecting address-only or embedded Maps leads, but no blue Google Order entry was visible during the re-check."
